arch,seed,transform,severity,auroc,auprc,sensitivity,specificity,balanced_accuracy,f1,brier,nll,ece
densenet121,42,contrast,1,0.9913394298009682,0.9939048295254477,0.9822485207100592,0.9181818181818182,0.9502151694459386,0.9651162790697676,0.03429274005603736,0.1532287646784549,0.039698212681251385
densenet121,42,contrast,2,0.9864443249058633,0.9903024950302535,1.0,0.6090909090909091,0.8045454545454546,0.8871391076115485,0.12961052120117372,0.5851980399389518,0.16021332290277257
densenet121,42,contrast,3,0.964228079612695,0.9696444614343709,1.0,0.06363636363636363,0.5318181818181819,0.7664399092970522,0.33540995640899707,1.9723419260541664,0.3542604298467704
densenet121,123,contrast,1,0.9904249596557289,0.9926450289851391,0.9822485207100592,0.9181818181818182,0.9502151694459386,0.9651162790697676,0.037111215611028106,0.20494673419750303,0.037675358114704
densenet121,123,contrast,2,0.9878698224852072,0.9904361726513216,1.0,0.7818181818181819,0.8909090909090909,0.9337016574585635,0.07998676460287907,0.494286860954697,0.08989967581378733
densenet121,123,contrast,3,0.9828133405056482,0.9840361811049275,1.0,0.2909090909090909,0.6454545454545455,0.8125000000000001,0.26229074191406704,1.6976195522487425,0.2846357618261623
densenet121,456,contrast,1,0.9894029047875201,0.9922482608086188,1.0,0.9090909090909091,0.9545454545454546,0.9712643678160919,0.034755631280514517,0.20517477086057648,0.043684486595172684
densenet121,456,contrast,2,0.9859064012910167,0.9896350684620412,1.0,0.43636363636363634,0.7181818181818181,0.845,0.1851668884523141,0.8790665073410429,0.21892774906209722
densenet121,456,contrast,3,0.9405594405594406,0.9554541598176283,1.0,0.01818181818181818,0.509090909090909,0.757847533632287,0.37125011852374185,2.1589589211493005,0.3801908248427948
densenet121,789,contrast,1,0.9895104895104895,0.9907918759771289,1.0,0.8727272727272727,0.9363636363636363,0.9602272727272728,0.04170640199738431,0.2555338809519011,0.04692123349635833
densenet121,789,contrast,2,0.9879505110274341,0.9887244242656362,1.0,0.7272727272727273,0.8636363636363636,0.9184782608695652,0.10623206732944414,0.6836365491625997,0.11644264484178207
densenet121,789,contrast,3,0.9759010220548683,0.9826148880678971,1.0,0.13636363636363635,0.5681818181818181,0.7806004618937644,0.3230611367638035,2.1542943829235117,0.3372758674338513
densenet121,2026,contrast,1,0.9936525013448091,0.9952923277586043,1.0,0.8636363636363636,0.9318181818181819,0.9575070821529745,0.04675119850379453,0.25213605926746957,0.05190727409429342
densenet121,2026,contrast,2,0.9925766541151156,0.995135349134148,1.0,0.6545454545454545,0.8272727272727273,0.8989361702127658,0.1196756638941739,0.754678800107941,0.1339627636803521
densenet121,2026,contrast,3,0.9561054330285099,0.964637303436184,1.0,0.08181818181818182,0.5409090909090909,0.7699316628701595,0.35030371859814724,2.840129844829726,0.3597482413747832
