arch,seed,mask_condition,auroc,auprc,sensitivity,specificity,balanced_accuracy,f1,brier,nll,ece
densenet121,42,clean,0.9904249596557289,0.9928010472334869,0.9763313609467456,0.9636363636363636,0.9699838622915546,0.9763313609467456,0.02618861881417046,0.12147251930990534,0.027690256256476656
densenet121,42,lung_blackout,0.964389456697149,0.9767551208839476,1.0,0.2818181818181818,0.6409090909090909,0.8105515587529976,0.21474683034763342,0.7167695706210702,0.25809890977157063
densenet121,42,nonlung_blackout,0.8479827864443248,0.8826074121730654,1.0,0.00909090909090909,0.5045454545454545,0.756152125279642,0.3508278996411886,1.557586198221383,0.367239576727686
densenet121,123,clean,0.9881118881118881,0.9894716219519326,0.9763313609467456,0.9636363636363636,0.9699838622915546,0.9763313609467456,0.027828930764232068,0.16125336037501967,0.03080381573041016
densenet121,123,lung_blackout,0.9585798816568047,0.9669728715486856,0.9881656804733728,0.7181818181818181,0.8531737493275955,0.9100817438692099,0.10096590733799995,0.4072800166641649,0.10930579414718042
densenet121,123,nonlung_blackout,0.8865788058095752,0.9262556432808824,1.0,0.0,0.5,0.7544642857142858,0.382349844144282,2.427677500891357,0.38731475756587086
densenet121,456,clean,0.9890801506186122,0.9897056773567344,0.9704142011834319,0.9454545454545454,0.9579343733189887,0.967551622418879,0.03251364578944795,0.13890713318869047,0.030883141653111554
densenet121,456,lung_blackout,0.9542764927380312,0.9647194230742764,0.9940828402366864,0.38181818181818183,0.6879505110274341,0.8296296296296296,0.21477148609146718,0.8949884842376323,0.24871159275479643
densenet121,456,nonlung_blackout,0.7908284023668639,0.8466128660152435,1.0,0.0,0.5,0.7544642857142858,0.3822271455246351,2.0624105432400848,0.3864869257455231
densenet121,789,clean,0.9867132867132867,0.9886889669507646,0.9822485207100592,0.9454545454545454,0.9638515330823023,0.9736070381231672,0.023449353795358174,0.1522874893636545,0.026545442156760725
densenet121,789,lung_blackout,0.9657880580957504,0.9773497079879703,1.0,0.33636363636363636,0.6681818181818182,0.8223844282238443,0.21697370328662957,0.8752561244378902,0.25130359609494496
densenet121,789,nonlung_blackout,0.7918235610543303,0.8471940761233091,1.0,0.00909090909090909,0.5045454545454545,0.756152125279642,0.3568885803540325,1.5939943026929546,0.36660427797759304
densenet121,2026,clean,0.9910704679935449,0.993429266484019,0.9940828402366864,0.9181818181818182,0.9561323292092523,0.9710982658959538,0.03136699131476152,0.17247131797990042,0.034426919583524965
densenet121,2026,lung_blackout,0.9535771920387306,0.9610356166070256,0.9822485207100592,0.5272727272727272,0.7547606239913932,0.8578811369509044,0.1480167452216803,0.6520564789428213,0.16994408640917058
densenet121,2026,nonlung_blackout,0.8210597095212478,0.8816380537307441,1.0,0.01818181818181818,0.509090909090909,0.757847533632287,0.3717459991717878,2.212233693915793,0.3779165504974276
efficientnet_b0,42,clean,0.9877084454007531,0.9879975415675706,0.9822485207100592,0.9363636363636364,0.9593060785368478,0.9707602339181286,0.0349393168706313,0.30574638901819384,0.03509112541258373
efficientnet_b0,42,lung_blackout,0.9587681549220011,0.9666546961483033,0.9881656804733728,0.41818181818181815,0.7031737493275955,0.835,0.20992052622312754,1.4458299354800819,0.22027102635178622
