architecture,n_seeds,dAUROC_mean,dAUROC_sd,dAUROC_median,dAUROC_min,dAUROC_max,stouffer_p,holm_p,significant_holm_0_05
densenet121,5,0.0011941904249596958,0.0026089018038376855,0.0008606777837546487,-0.002151694459386677,0.005164066702528225,0.7534557950388 11,0.753455795038811,False
efficientnet_b0,5,-0.004997310381925679,0.0019939849609857453,-0.005594405594405494,-0.007638515330822937,-0.0029316837009144 56,0.0034412714425625123,0.010323814327687537,True
swin_tiny,5,-0.0010328133405056671,0.0013982910236154705,-0.0005379236148466138,-0.0028509951587687 45,0.0005379236148467248,0.3658075373236013,0.7316150746472025,False
