architecture,expA_dAUROC_sd_betweenSeed,a2_dAUROC_sd_betweenSeed,sd_ratio_a2_over_expA,expA_dAUROC_range,a2_dAUROC_range,expA_mean_withinRun_CIwidth,a2_mean_withinRun_CIwidth,expA_stouffer_p,a2_stouffer_p
densenet121,0.0037582540646805,0.0026089018038376,0.6941792010166802,0.0101129639591178,0.0073157611619148,0.01582440287944664,0.01566603265140158,0.5467906156748124,0.753455795038811
efficientnet_b0,0.0083119294828658,0.0019939849609857,0.23989435486623148,0.0215169445938675,0.0047068316299085,0.02219454561704604,0.00344056848654108,0.0034412714425625,0.010323814327687537
swin_tiny,0.0018373851801909,0.0013982910236154,0.7610222602705358,0.0050564819795587,0.0033889187735341,0.00780397949758,0.00812832434793254,0.5867834737489532,0.3658075373236013
