architecture,expA_sd_full5,a2_sd_full5,ratio_full5,expA_most_influential_seed,expA_sd_drop_if_removed,f_test_F,f_test_p_two_sided,boot_ratio_median,boot_ratio_ci_low,boot_ratio_ci_high
densenet121,0.0037582540646805,0.0026089018038376534,0.694179201016690,2026,0.0013778407672572,0.4818847631,0.4969,0.701,0.054,2.421
efficientnet_b0,0.0083119294828658,0.0019939849609857,0.239893454866235,456,0.0044384,0.058,0.0171,0.238,0.089,1.009
swin_tiny,0.0018373851801909,0.0013982910236154,0.761022607053722,2026,0.0007935,0.579,0.6097,0.780,0.224,4.309
